,averagerating,numvotes,title,genres,Sport,Fantasy,Mystery,War,Biography,Drama,Comedy,History,Crime,Horror,Family,Adventure,Romance,Documentary,Sci-Fi,Action,Thriller,Music,Animation,year,dom_gross,for_gross,world_gross
812,5.9,121936,The Mortal Instruments: City of Bones,"Action,Fantasy,Horror",False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2013,31200000.0,64200000.0,95400000.0
813,6.0,41,The Little Death,Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2015,18200.0,,
815,6.5,60070,"Jeff, Who Lives at Home","Comedy,Drama",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,2012,4300000.0,148000.0,4448000.0
816,5.1,72552,Abduction,"Action,Mystery,Thriller",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,2011,28100000.0,54000000.0,82100000.0
817,5.3,188383,A Good Day to Die Hard,"Action,Thriller",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,2013,67300000.0,237300000.0,304600000.0
818,6.6,41043,Think Like a Man,"Comedy,Romance",False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2012,91500000.0,4500000.0,96000000.0
819,7.9,546284,Edge of Tomorrow,"Action,Sci-Fi",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,2014,100200000.0,270300000.0,370500000.0
820,5.7,172330,Wrath of the Titans,"Action,Adventure,Fantasy",False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,2012,83700000.0,221600000.0,305300000.0
821,7.4,5267,I Wish,Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2012,146000.0,1400000.0,1546000.0
822,8.0,422671,The Perks of Being a Wallflower,Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2012,17700000.0,15600000.0,33300000.0
823,6.6,175601,Ice Age: Continental Drift,"Adventure,Animation,Comedy",False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,2012,161300000.0,715900000.0,877200000.0
824,7.0,871,Khodorkovsky,"Biography,Documentary,Drama",False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,2011,39500.0,,
825,6.7,7709,Eden,"Crime,Drama",False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,2015,65500.0,,
826,6.7,55841,Like Crazy,"Drama,Romance",False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,2011,3400000.0,336000.0,3736000.0
827,5.2,51427,Apollo 18,"Horror,Mystery,Sci-Fi",False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,2011,17700000.0,7900000.0,25600000.0
828,5.7,3660,Yamla Pagla Deewana,"Action,Comedy,Drama",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,2011,993000.0,600000.0,1593000.0
829,6.5,51295,Step Up Revolution,"Drama,Music,Romance",False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,2012,35100000.0,105400000.0,140500000.0
830,6.3,1593,The Salt of Life,"Comedy,Romance",False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2012,317000.0,1200000.0,1517000.0
831,5.7,31849,Admission,"Comedy,Drama,Romance",False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,2013,18000000.0,,
